48126 2069 
6 1 0.000001245
26 1 0.000005657
75 1 0.000004619
106 1 0.000015446
134 1 0.000026713
136 1 0.000033974
141 1 0.000021868
150 1 0.000017044
174 1 0.000023108
175 1 0.000045466
197 1 0.000049161
199 1 0.000048969
214 1 0.000041137
224 1 0.000044692
226 1 0.000055273
227 1 0.000013861
236 1 0.000031422
238 1 0.000053071
251 1 0.000052460
262 1 0.000045195
268 1 0.000008501
269 1 0.000056365
302 1 0.000020747
306 1 0.000030484
324 1 0.000011386
343 1 0.000041090
353 1 0.000022087
359 1 0.000030977
376 1 0.000036960
381 1 0.000025804
409 1 0.000015842
425 1 0.000003075
428 1 0.000017217
429 1 0.000020728
438 1 0.000005088
450 1 0.000008297
476 1 0.000011445
515 1 0.000003527
29 2 0.000005552
47 2 0.000002781
48 2 0.000009892
51 2 0.000007203
54 2 0.000007622
103 2 0.000012420
145 2 0.000002642
146 2 0.000018285
148 2 0.000030811
152 2 0.000030545
156 2 0.000016982
159 2 0.000000507
171 2 0.000029041
190 2 0.000038958
193 2 0.000045328
198 2 0.000040715
213 2 0.000033901
219 2 0.000046955
237 2 0.000024908
246 2 0.000044264
255 2 0.000050852
265 2 0.000033752
276 2 0.000019128
284 2 0.000037351
298 2 0.000039313
300 2 0.000024127
319 2 0.000040087
323 2 0.000009846
330 2 0.000028271
332 2 0.000039351
340 2 0.000016713
341 2 0.000029493
352 2 0.000035992
355 2 0.000018789
361 2 0.000036195
369 2 0.000027831
370 2 0.000009170
403 2 0.000010373
411 2 0.000015549
442 2 0.000017469
483 2 0.000010300
617 2 0.000000605
698 2 0.000000133
4 3 0.000001162
58 3 0.000011352
73 3 0.000013035
104 3 0.000020570
120 3 0.000014231
126 3 0.000023082
137 3 0.000028681
151 3 0.000006542
155 3 0.000024534
157 3 0.000029973
189 3 0.000018363
192 3 0.000045860
205 3 0.000002241
221 3 0.000050222
231 3 0.000046554
240 3 0.000048685
242 3 0.000035408
249 3 0.000052535
254 3 0.000040762
266 3 0.000002696
272 3 0.000043790
277 3 0.000020124
296 3 0.000043653
315 3 0.000047942
320 3 0.000035034
327 3 0.000040819
334 3 0.000023714
337 3 0.000041111
347 3 0.000032192
375 3 0.000034554
379 3 0.000013369
382 3 0.000020887
392 3 0.000026711
421 3 0.000003420
430 3 0.000019468
456 3 0.000015909
460 3 0.000009494
481 3 0.000011320
38 4 0.000006019
48 4 0.000003053
59 4 0.000000003
75 4 0.000012939
77 4 0.000006592
115 4 0.000011912
148 4 0.000018879
150 4 0.000026618
168 4 0.000016910
171 4 0.000027580
185 4 0.000026947
187 4 0.000035941
193 4 0.000015327
203 4 0.000035041
213 4 0.000033805
214 4 0.000024024
219 4 0.000010039
226 4 0.000008411
227 4 0.000041368
236 4 0.000033863
237 4 0.000041256
245 4 0.000029616
246 4 0.000006415
251 4 0.000004174
260 4 0.000040778
265 4 0.000037447
276 4 0.000042331
279 4 0.000032332
287 4 0.000021059
301 4 0.000018411
304 4 0.000037656
317 4 0.000025214
319 4 0.000006040
324 4 0.000037460
335 4 0.000029814
341 4 0.000028645
355 4 0.000030993
377 4 0.000019026
380 4 0.000021363
389 4 0.000024673
391 4 0.000002185
416 4 0.000013826
419 4 0.000003599
425 4 0.000017073
438 4 0.000014957
451 4 0.000007812
483 4 0.000002851
491 4 0.000007725
14 5 0.000001837
17 5 0.000000746
53 5 0.000001177
58 5 0.000009340
89 5 0.000016894
102 5 0.000016341
132 5 0.000021869
140 5 0.000021139
163 5 0.000016515
166 5 0.000031239
169 5 0.000032803
178 5 0.000037803
189 5 0.000030201
200 5 0.000043764
202 5 0.000018253
